time,t2m_degC
2024-01-01 00:00:00,5.7635803
2024-01-01 01:00:00,5.4459534
2024-01-01 02:00:00,5.434723
2024-01-01 03:00:00,5.2655334
2024-01-01 04:00:00,5.138092
2024-01-01 05:00:00,4.7565002
2024-01-01 06:00:00,4.561676
2024-01-01 07:00:00,4.480377
2024-01-01 08:00:00,4.14151
2024-01-01 09:00:00,3.872467
2024-01-01 10:00:00,4.2760315
2024-01-01 11:00:00,4.980377
2024-01-01 12:00:00,5.6664124
2024-01-01 13:00:00,6.1666565
2024-01-01 14:00:00,6.722809
2024-01-01 15:00:00,6.919586
2024-01-01 16:00:00,7.6061096
2024-01-01 17:00:00,8.160797
2024-01-01 18:00:00,8.986237
2024-01-01 19:00:00,9.697418
2024-01-01 20:00:00,10.262604
2024-01-01 21:00:00,10.024567
2024-01-01 22:00:00,9.668854
2024-01-01 23:00:00,9.45694
2024-01-02 00:00:00,9.138336
2024-01-02 01:00:00,9.091461
2024-01-02 02:00:00,9.217926
2024-01-02 03:00:00,8.911041
2024-01-02 04:00:00,8.7447815
2024-01-02 05:00:00,8.861481
2024-01-02 06:00:00,8.888336
2024-01-02 07:00:00,9.022369
2024-01-02 08:00:00,8.8246155
2024-01-02 09:00:00,8.402008
2024-01-02 10:00:00,8.485016
2024-01-02 11:00:00,8.350494
2024-01-02 12:00:00,8.293121
2024-01-02 13:00:00,8.33316
2024-01-02 14:00:00,8.714508
2024-01-02 15:00:00,8.598053
2024-01-02 16:00:00,8.556305
2024-01-02 17:00:00,8.140289
2024-01-02 18:00:00,7.7323303
2024-01-02 19:00:00,7.5314026
2024-01-02 20:00:00,7.311676
2024-01-02 21:00:00,7.273834
2024-01-02 22:00:00,6.8541565
2024-01-02 23:00:00,6.7689514
2024-01-03 00:00:00,6.563141
2024-01-03 01:00:00,6.473053
2024-01-03 02:00:00,6.351959
2024-01-03 03:00:00,6.2984924
2024-01-03 04:00:00,6.518219
2024-01-03 05:00:00,6.808014
2024-01-03 06:00:00,6.9740295
2024-01-03 07:00:00,7.1063538
2024-01-03 08:00:00,7.1842346
2024-01-03 09:00:00,7.038971
2024-01-03 10:00:00,7.148834
2024-01-03 11:00:00,7.582184
2024-01-03 12:00:00,8.052887
2024-01-03 13:00:00,8.334869
2024-01-03 14:00:00,8.493317
2024-01-03 15:00:00,8.361481
2024-01-03 16:00:00,7.9076233
2024-01-03 17:00:00,7.4967346
2024-01-03 18:00:00,7.622711
2024-01-03 19:00:00,7.353668
2024-01-03 20:00:00,7.141754
2024-01-03 21:00:00,6.948639
2024-01-03 22:00:00,6.7413635
2024-01-03 23:00:00,6.875641
2024-01-04 00:00:00,6.962311
2024-01-04 01:00:00,6.8661194
2024-01-04 02:00:00,6.5570374
2024-01-04 03:00:00,6.3490295
2024-01-04 04:00:00,5.9024963
2024-01-04 05:00:00,5.5279846
2024-01-04 06:00:00,5.228424
2024-01-04 07:00:00,4.8231506
2024-01-04 08:00:00,4.2586975
2024-01-04 09:00:00,4.033844
2024-01-04 10:00:00,4.430084
2024-01-04 11:00:00,5.309723
2024-01-04 12:00:00,5.999298
2024-01-04 13:00:00,6.462311
2024-01-04 14:00:00,6.6826477
2024-01-04 15:00:00,6.453766
2024-01-04 16:00:00,5.5467834
2024-01-04 17:00:00,4.6512756
2024-01-04 18:00:00,4.311432
2024-01-04 19:00:00,3.8529358
2024-01-04 20:00:00,3.6561584
2024-01-04 21:00:00,3.6283264
2024-01-04 22:00:00,3.6756897
2024-01-04 23:00:00,3.6539612
2024-01-05 00:00:00,3.584381
2024-01-05 01:00:00,3.3368225
2024-01-05 02:00:00,3.431549
2024-01-05 03:00:00,3.2223206
2024-01-05 04:00:00,3.341217
2024-01-05 05:00:00,3.691803
2024-01-05 06:00:00,3.8546448
2024-01-05 07:00:00,3.952301
2024-01-05 08:00:00,4.1092834
2024-01-05 09:00:00,3.9515686
2024-01-05 10:00:00,4.1219788
2024-01-05 11:00:00,5.072296
2024-01-05 12:00:00,5.941681
2024-01-05 13:00:00,6.665436
2024-01-05 14:00:00,6.859894
2024-01-05 15:00:00,6.6634827
2024-01-05 16:00:00,5.9654846
2024-01-05 17:00:00,5.0311584
2024-01-05 18:00:00,4.6715393
2024-01-05 19:00:00,4.2601624
2024-01-05 20:00:00,3.986969
2024-01-05 21:00:00,3.8141174
2024-01-05 22:00:00,3.3021545
2024-01-05 23:00:00,2.9103088
2024-01-06 00:00:00,2.7745667
2024-01-06 01:00:00,2.4725647
2024-01-06 02:00:00,2.1888733
2024-01-06 03:00:00,2.021637
2024-01-06 04:00:00,1.9842834
2024-01-06 05:00:00,1.8490295
2024-01-06 06:00:00,1.5704651
2024-01-06 07:00:00,1.5670471
2024-01-06 08:00:00,1.3441467
2024-01-06 09:00:00,1.3744202
2024-01-06 10:00:00,1.6903381
2024-01-06 11:00:00,2.9166565
2024-01-06 12:00:00,4.1947327
2024-01-06 13:00:00,5.2294006
2024-01-06 14:00:00,5.736725
2024-01-06 15:00:00,5.69693
2024-01-06 16:00:00,5.2638245
2024-01-06 17:00:00,3.990387
2024-01-06 18:00:00,3.5416565
2024-01-06 19:00:00,2.841217
2024-01-06 20:00:00,2.3243713
2024-01-06 21:00:00,1.8058167
2024-01-06 22:00:00,1.5284729
2024-01-06 23:00:00,1.1117249
2024-01-07 00:00:00,0.80874634
2024-01-07 01:00:00,0.49649048
2024-01-07 02:00:00,0.38613892
2024-01-07 03:00:00,0.4125061
2024-01-07 04:00:00,1.1578674
2024-01-07 05:00:00,1.1210022
2024-01-07 06:00:00,0.690094
2024-01-07 07:00:00,0.3253479
2024-01-07 08:00:00,0.27407837
2024-01-07 09:00:00,0.07095337
2024-01-07 10:00:00,0.62197876
2024-01-07 11:00:00,1.6251526
2024-01-07 12:00:00,2.6459045
2024-01-07 13:00:00,3.0416565
2024-01-07 14:00:00,3.7552795
2024-01-07 15:00:00,3.8282776
2024-01-07 16:00:00,3.193512
2024-01-07 17:00:00,1.9772034
2024-01-07 18:00:00,1.70401
2024-01-07 19:00:00,1.6341858
2024-01-07 20:00:00,1.3470764
2024-01-07 21:00:00,0.4618225
2024-01-07 22:00:00,0.8800354
2024-01-07 23:00:00,0.9532776
2024-01-08 00:00:00,1.1874084
2024-01-08 01:00:00,1.3329163
2024-01-08 02:00:00,1.2884827
2024-01-08 03:00:00,1.1810608
2024-01-08 04:00:00,0.7142639
2024-01-08 05:00:00,1.0990295
2024-01-08 06:00:00,1.1273499
2024-01-08 07:00:00,1.936676
2024-01-08 08:00:00,2.3331604
2024-01-08 09:00:00,2.184723
2024-01-08 10:00:00,2.6888733
2024-01-08 11:00:00,2.9710999
2024-01-08 12:00:00,3.5177307
2024-01-08 13:00:00,3.6747131
2024-01-08 14:00:00,3.9337463
2024-01-08 15:00:00,3.7884827
2024-01-08 16:00:00,3.589508
2024-01-08 17:00:00,3.2001038
2024-01-08 18:00:00,3.2679749
2024-01-08 19:00:00,3.4535217
2024-01-08 20:00:00,3.3087463
2024-01-08 21:00:00,3.2113342
2024-01-08 22:00:00,3.1488342
2024-01-08 23:00:00,3.1012268
2024-01-09 00:00:00,2.9960022
2024-01-09 01:00:00,3.027008
2024-01-09 02:00:00,3.1197815
2024-01-09 03:00:00,3.2503967
2024-01-09 04:00:00,3.2982483
2024-01-09 05:00:00,3.1322327
2024-01-09 06:00:00,3.1947327
2024-01-09 07:00:00,3.2623596
2024-01-09 08:00:00,3.2591858
2024-01-09 09:00:00,3.1256409
2024-01-09 10:00:00,3.3214417
2024-01-09 11:00:00,3.410553
2024-01-09 12:00:00,3.4825745
2024-01-09 13:00:00,3.8294983
2024-01-09 14:00:00,3.92276
2024-01-09 15:00:00,3.9637756
2024-01-09 16:00:00,3.9337463
2024-01-09 17:00:00,3.7447815
2024-01-09 18:00:00,3.5856018
2024-01-09 19:00:00,3.3053284
2024-01-09 20:00:00,3.0502014
2024-01-09 21:00:00,2.714264
2024-01-09 22:00:00,2.804596
2024-01-09 23:00:00,2.6202698
2024-01-10 00:00:00,2.5975647
2024-01-10 01:00:00,2.611969
2024-01-10 02:00:00,2.511383
2024-01-10 03:00:00,2.421051
2024-01-10 04:00:00,2.6559143
2024-01-10 05:00:00,2.5733948
2024-01-10 06:00:00,2.651764
2024-01-10 07:00:00,3.0135803
2024-01-10 08:00:00,3.3475647
2024-01-10 09:00:00,3.3939514
2024-01-10 10:00:00,4.4823303
2024-01-10 11:00:00,5.1559143
2024-01-10 12:00:00,5.6288147
2024-01-10 13:00:00,5.921051
2024-01-10 14:00:00,5.9654846
2024-01-10 15:00:00,5.902252
2024-01-10 16:00:00,5.691803
2024-01-10 17:00:00,5.830719
2024-01-10 18:00:00,5.7799377
2024-01-10 19:00:00,6.061676
2024-01-10 20:00:00,6.2447815
2024-01-10 21:00:00,6.3382874
2024-01-10 22:00:00,5.8919983
2024-01-10 23:00:00,6.087311
2024-01-11 00:00:00,6.181061
2024-01-11 01:00:00,6.2149963
2024-01-11 02:00:00,6.0748596
2024-01-11 03:00:00,6.195465
2024-01-11 04:00:00,6.230377
2024-01-11 05:00:00,6.238678
2024-01-11 06:00:00,6.1441956
2024-01-11 07:00:00,6.2064514
2024-01-11 08:00:00,6.2364807
2024-01-11 09:00:00,6.275055
2024-01-11 10:00:00,6.268219
2024-01-11 11:00:00,6.571686
2024-01-11 12:00:00,6.6127014
2024-01-11 13:00:00,6.689728
2024-01-11 14:00:00,6.688263
2024-01-11 15:00:00,6.5611877
2024-01-11 16:00:00,6.528961
2024-01-11 17:00:00,6.3297424
2024-01-11 18:00:00,6.3993225
2024-01-11 19:00:00,6.443756
2024-01-11 20:00:00,6.490387
2024-01-11 21:00:00,6.448639
2024-01-11 22:00:00,5.863922
2024-01-11 23:00:00,5.9222717
2024-01-12 00:00:00,5.927643
2024-01-12 01:00:00,5.741852
2024-01-12 02:00:00,5.4527893
2024-01-12 03:00:00,5.4083557
2024-01-12 04:00:00,5.247467
2024-01-12 05:00:00,5.023102
2024-01-12 06:00:00,5.0155334
2024-01-12 07:00:00,4.936676
2024-01-12 08:00:00,4.988434
2024-01-12 09:00:00,4.8128967
2024-01-12 10:00:00,4.480377
2024-01-12 11:00:00,4.3805237
2024-01-12 12:00:00,4.5482483
2024-01-12 13:00:00,4.4615784
2024-01-12 14:00:00,4.3229065
2024-01-12 15:00:00,4.255768
2024-01-12 16:00:00,4.1564026
2024-01-12 17:00:00,4.0941467
2024-01-12 18:00:00,3.796051
2024-01-12 19:00:00,3.5675354
2024-01-12 20:00:00,3.2394104
2024-01-12 21:00:00,2.837799
2024-01-12 22:00:00,1.6437073
2024-01-12 23:00:00,1.3836975
2024-01-13 00:00:00,1.1422424
2024-01-13 01:00:00,1.1075745
2024-01-13 02:00:00,1.0277405
2024-01-13 03:00:00,0.7401428
2024-01-13 04:00:00,0.76651
2024-01-13 05:00:00,0.72817993
2024-01-13 06:00:00,0.7377014
2024-01-13 07:00:00,0.875885
2024-01-13 08:00:00,1.2096252
2024-01-13 09:00:00,1.6529846
2024-01-13 10:00:00,1.8995667
2024-01-13 11:00:00,2.817047
2024-01-13 12:00:00,3.603424
2024-01-13 13:00:00,4.245636
2024-01-13 14:00:00,4.476837
2024-01-13 15:00:00,4.6752014
2024-01-13 16:00:00,4.629547
2024-01-13 17:00:00,4.474518
2024-01-13 18:00:00,4.3746643
2024-01-13 19:00:00,4.4391174
2024-01-13 20:00:00,4.275543
2024-01-13 21:00:00,3.9457092
2024-01-13 22:00:00,3.7484436
2024-01-13 23:00:00,3.464264
2024-01-14 00:00:00,3.1280823
2024-01-14 01:00:00,2.7779846
2024-01-14 02:00:00,2.3885803
2024-01-14 03:00:00,2.1549377
2024-01-14 04:00:00,1.7835999
2024-01-14 05:00:00,1.8146057
2024-01-14 06:00:00,1.4159241
2024-01-14 07:00:00,1.1695862
2024-01-14 08:00:00,1.0367737
2024-01-14 09:00:00,1.1852112
2024-01-14 10:00:00,1.927887
2024-01-14 11:00:00,2.933258
2024-01-14 12:00:00,3.8297424
2024-01-14 13:00:00,4.483795
2024-01-14 14:00:00,4.7586975
2024-01-14 15:00:00,4.5887756
2024-01-14 16:00:00,4.0829163
2024-01-14 17:00:00,3.525299
2024-01-14 18:00:00,3.26651
2024-01-14 19:00:00,2.983551
2024-01-14 20:00:00,2.561432
2024-01-14 21:00:00,1.8229065
2024-01-14 22:00:00,1.6429749
2024-01-14 23:00:00,1.2506409
2024-01-15 00:00:00,0.7843323
2024-01-15 01:00:00,0.5279846
2024-01-15 02:00:00,0.39834595
