time,t2m_degC,u10_ms,v10_ms,wind_speed10m_ms
2024-01-01 00:00:00,5.7635803,8.417755,-0.37532043,8.426119
2024-01-01 01:00:00,5.4459534,8.079544,-0.20713806,8.082199
2024-01-01 02:00:00,5.434723,7.941025,0.17984009,7.943061
2024-01-01 03:00:00,5.2655334,7.564377,0.56211853,7.585234
2024-01-01 04:00:00,5.138092,7.0146484,0.989624,7.084112
2024-01-01 05:00:00,4.7565002,6.27594,1.2851868,6.406179
2024-01-01 06:00:00,4.561676,5.4665985,1.7010803,5.725153
2024-01-01 07:00:00,4.480377,4.4953003,2.154358,4.9848757
2024-01-01 08:00:00,4.14151,3.1330109,2.4178467,3.9574916
2024-01-01 09:00:00,3.872467,2.072586,2.7055054,3.4081333
2024-01-01 10:00:00,4.2760315,1.2490692,3.2865906,3.5159426
2024-01-01 11:00:00,4.980377,-0.015670776,3.1946716,3.1947103
2024-01-01 12:00:00,5.6664124,-1.7101898,2.8205872,3.2985544
2024-01-01 13:00:00,6.1666565,-2.5598755,4.285263,4.991637
2024-01-01 14:00:00,6.722809,-4.285019,5.3113403,6.824348
2024-01-01 15:00:00,6.919586,-4.7771454,5.713028,7.447134
2024-01-01 16:00:00,7.6061096,-4.940399,5.5326233,7.4173756
2024-01-01 17:00:00,8.160797,-3.4810333,5.133072,6.202098
2024-01-01 18:00:00,8.986237,-3.6526184,5.670807,6.7453446
2024-01-01 19:00:00,9.697418,-0.9220581,6.5177917,6.58269
2024-01-01 20:00:00,10.262604,5.011688,5.0017395,7.0805664
2024-01-01 21:00:00,10.024567,6.9678345,3.552185,7.8210444
2024-01-01 22:00:00,9.668854,7.4733734,2.700653,7.9463725
2024-01-01 23:00:00,9.45694,7.1523285,2.497467,7.5758266
2024-01-02 00:00:00,9.138336,6.3553314,2.984314,7.0211368
2024-01-02 01:00:00,9.091461,5.532318,3.4763489,6.533877
2024-01-02 02:00:00,9.217926,4.5638885,3.8578186,5.975939
2024-01-02 03:00:00,8.911041,4.2515106,4.237808,6.002863
2024-01-02 04:00:00,8.7447815,3.916214,4.217209,5.755135
2024-01-02 05:00:00,8.861481,2.9341125,4.1952667,5.1195
2024-01-02 06:00:00,8.888336,1.929245,4.0937347,4.5255556
2024-01-02 07:00:00,9.022369,1.4029083,3.873642,4.1198606
2024-01-02 08:00:00,8.8246155,1.0084686,3.1980133,3.353252
2024-01-02 09:00:00,8.402008,0.4482422,3.0915833,3.123909
2024-01-02 10:00:00,8.485016,0.21490479,2.5837555,2.5926774
2024-01-02 11:00:00,8.350494,0.93258667,2.2420502,2.4282725
2024-01-02 12:00:00,8.293121,2.0287018,1.8139496,2.7214048
2024-01-02 13:00:00,8.33316,3.169632,1.9746857,3.7344277
2024-01-02 14:00:00,8.714508,4.462723,1.9864502,4.8848624
2024-01-02 15:00:00,8.598053,4.9500275,1.8371277,5.279944
2024-01-02 16:00:00,8.556305,5.137802,1.5903473,5.3783097
2024-01-02 17:00:00,8.140289,5.1635284,2.0208282,5.544887
2024-01-02 18:00:00,7.7323303,5.332016,2.3491364,5.826563
2024-01-02 19:00:00,7.5314026,5.330246,2.4442596,5.863951
2024-01-02 20:00:00,7.311676,5.040573,2.5990753,5.6712055
2024-01-02 21:00:00,7.273834,4.5127563,2.67424,5.24562
2024-01-02 22:00:00,6.8541565,3.4487305,3.0366516,4.5951056
2024-01-02 23:00:00,6.7689514,2.5602264,2.730362,3.7429447
2024-01-03 00:00:00,6.563141,2.3670044,2.563385,3.4890761
2024-01-03 01:00:00,6.473053,2.1524048,2.1323395,3.029805
2024-01-03 02:00:00,6.351959,1.9483032,1.8177032,2.6645696
2024-01-03 03:00:00,6.2984924,1.7980957,1.841568,2.5738144
2024-01-03 04:00:00,6.518219,1.6331482,2.0980835,2.658783
2024-01-03 05:00:00,6.808014,2.0200348,2.0313873,2.8647993
2024-01-03 06:00:00,6.9740295,2.4554443,1.7975159,3.0430691
2024-01-03 07:00:00,7.1063538,2.7417908,1.4272308,3.0910199
2024-01-03 08:00:00,7.1842346,2.7363434,1.22258,2.9970448
2024-01-03 09:00:00,7.038971,3.1131744,1.0943909,3.2999313
2024-01-03 10:00:00,7.148834,3.6421661,0.62683105,3.6957126
2024-01-03 11:00:00,7.582184,4.3875275,0.5450287,4.4212503
2024-01-03 12:00:00,8.052887,5.366913,0.08319092,5.3675575
2024-01-03 13:00:00,8.334869,5.0299683,-0.13435364,5.031762
2024-01-03 14:00:00,8.493317,4.987015,-0.25552368,4.9935565
2024-01-03 15:00:00,8.361481,4.306015,0.1056366,4.3073106
2024-01-03 16:00:00,7.9076233,3.8421936,0.61161804,3.8905692
2024-01-03 17:00:00,7.4967346,3.798172,1.0023956,3.9282193
2024-01-03 18:00:00,7.622711,3.885437,1.4052734,4.131757
2024-01-03 19:00:00,7.353668,4.0446777,1.6725616,4.3768573
