time,Dublin_t2m_degC,Galway_t2m_degC,Cork_t2m_degC
2024-01-01 00:00:00,5.7635803,6.396393,5.617096
2024-01-01 01:00:00,5.4459534,5.922516,5.094391
2024-01-01 02:00:00,5.434723,5.5187073,4.604645
2024-01-01 03:00:00,5.2655334,5.257721,4.1112366
2024-01-01 04:00:00,5.138092,5.1634827,3.917389
2024-01-01 05:00:00,4.7565002,4.942047,3.736969
2024-01-01 06:00:00,4.561676,5.0362854,4.0069885
2024-01-01 07:00:00,4.480377,4.542877,3.931549
2024-01-01 08:00:00,4.14151,4.815338,4.0829163
2024-01-01 09:00:00,3.872467,4.452545,5.2044983
2024-01-01 10:00:00,4.2760315,4.8404846,6.5240784
2024-01-01 11:00:00,4.980377,5.306549,7.4042053
2024-01-01 12:00:00,5.6664124,5.4652405,8.076569
2024-01-01 13:00:00,6.1666565,5.8893127,8.977203
2024-01-01 14:00:00,6.722809,6.2638245,9.601715
2024-01-01 15:00:00,6.919586,6.480133,10.267242
2024-01-01 16:00:00,7.6061096,6.863922,11.082672
2024-01-01 17:00:00,8.160797,7.2154846,11.469391
2024-01-01 18:00:00,8.986237,8.177643,11.078033
2024-01-01 19:00:00,9.697418,10.326324,10.240387
2024-01-01 20:00:00,10.262604,10.705963,10.323151
2024-01-01 21:00:00,10.024567,11.30191,10.510895
2024-01-01 22:00:00,9.668854,10.330963,10.471588
2024-01-01 23:00:00,9.45694,10.267487,10.603424
2024-01-02 00:00:00,9.138336,10.29068,10.528961
2024-01-02 01:00:00,9.091461,9.902008,10.030914
2024-01-02 02:00:00,9.217926,9.686676,9.735504
2024-01-02 03:00:00,8.911041,9.799713,9.67276
2024-01-02 04:00:00,8.7447815,9.8385315,9.592438
2024-01-02 05:00:00,8.861481,9.754059,9.756012
2024-01-02 06:00:00,8.888336,9.569977,9.523102
2024-01-02 07:00:00,9.022369,9.569244,9.246979
2024-01-02 08:00:00,8.8246155,9.353912,8.87735
2024-01-02 09:00:00,8.402008,9.235992,9.060211
2024-01-02 10:00:00,8.485016,9.252594,8.738922
2024-01-02 11:00:00,8.350494,9.7274475,8.746979
2024-01-02 12:00:00,8.293121,9.795074,9.007965
2024-01-02 13:00:00,8.33316,9.286285,9.309723
2024-01-02 14:00:00,8.714508,9.048492,9.527008
2024-01-02 15:00:00,8.598053,8.672272,9.291412
2024-01-02 16:00:00,8.556305,8.394196,8.827789
2024-01-02 17:00:00,8.140289,8.370758,8.306305
2024-01-02 18:00:00,7.7323303,8.537018,8.376862
2024-01-02 19:00:00,7.5314026,8.136871,8.152496
2024-01-02 20:00:00,7.311676,7.9933167,7.891754
2024-01-02 21:00:00,7.273834,7.5589905,7.680084
2024-01-02 22:00:00,6.8541565,7.254547,7.6842346
2024-01-02 23:00:00,6.7689514,7.261139,7.7377014
2024-01-03 00:00:00,6.563141,7.0260315,7.5592346
2024-01-03 01:00:00,6.473053,7.0101624,7.1683655
2024-01-03 02:00:00,6.351959,6.832428,7.1214905
2024-01-03 03:00:00,6.2984924,7.13443,7.3766174
2024-01-03 04:00:00,6.518219,7.4674377,6.969391
2024-01-03 05:00:00,6.808014,7.0541077,6.9095764
2024-01-03 06:00:00,6.9740295,6.981842,6.823639
2024-01-03 07:00:00,7.1063538,7.01651,6.7567444
2024-01-03 08:00:00,7.1842346,7.1217346,7.063141
2024-01-03 09:00:00,7.038971,7.355377,7.353424
2024-01-03 10:00:00,7.148834,7.8382874,6.9476624
2024-01-03 11:00:00,7.582184,8.279449,7.7052307
2024-01-03 12:00:00,8.052887,8.849762,8.574371
2024-01-03 13:00:00,8.334869,9.250885,8.942291
2024-01-03 14:00:00,8.493317,8.93277,9.23941
2024-01-03 15:00:00,8.361481,8.349762,8.77359
2024-01-03 16:00:00,7.9076233,8.028717,8.347076
2024-01-03 17:00:00,7.4967346,7.8678284,7.9908752
2024-01-03 18:00:00,7.622711,7.5680237,7.507477
2024-01-03 19:00:00,7.353668,7.365387,6.910309
2024-01-03 20:00:00,7.141754,7.296051,6.512848
2024-01-03 21:00:00,6.948639,7.1908264,6.227936
2024-01-03 22:00:00,6.7413635,7.544098,5.8155823
2024-01-03 23:00:00,6.875641,7.750641,5.766266
2024-01-04 00:00:00,6.962311,7.3334045,5.1127014
2024-01-04 01:00:00,6.8661194,7.264557,5.045807
2024-01-04 02:00:00,6.5570374,6.8441467,4.7621155
2024-01-04 03:00:00,6.3490295,6.778717,4.2377014
2024-01-04 04:00:00,5.9024963,6.42984,3.631012
2024-01-04 05:00:00,5.5279846,6.1783752,2.9674377
2024-01-04 06:00:00,5.228424,5.839752,2.4256897
2024-01-04 07:00:00,4.8231506,5.719635,2.2997131
2024-01-04 08:00:00,4.2586975,5.1610413,1.9481506
2024-01-04 09:00:00,4.033844,4.754547,1.8697815
2024-01-04 10:00:00,4.430084,5.101959,2.5589905
2024-01-04 11:00:00,5.309723,6.37027,4.3780823
2024-01-04 12:00:00,5.999298,7.54422,5.780548
2024-01-04 13:00:00,6.462311,8.444733,6.759186
2024-01-04 14:00:00,6.6826477,8.618195,7.434601
2024-01-04 15:00:00,6.453766,8.47525,7.3268127
2024-01-04 16:00:00,5.5467834,7.7362366,6.2069397
2024-01-04 17:00:00,4.6512756,6.4794006,4.3680725
2024-01-04 18:00:00,4.311432,5.89151,4.2137756
2024-01-04 19:00:00,3.8529358,5.858795,4.2533264
