time,Dublin_t2m_degC,Galway_t2m_degC,Cork_t2m_degC,Dublin_wind_speed10m_ms,Galway_wind_speed10m_ms,Cork_wind_speed10m_ms
2024-01-01 00:00:00,5.7635803,6.396393,5.617096,8.426119,6.120335,4.9275293
2024-01-01 01:00:00,5.4459534,5.922516,5.094391,8.082199,5.6392965,4.4547596
2024-01-01 02:00:00,5.434723,5.5187073,4.604645,7.943061,4.9280457,3.9223616
2024-01-01 03:00:00,5.2655334,5.257721,4.1112366,7.585234,4.3442683,3.1771178
2024-01-01 04:00:00,5.138092,5.1634827,3.917389,7.084112,3.9412625,2.8740475
2024-01-01 05:00:00,4.7565002,4.942047,3.736969,6.406179,3.6546428,2.7922423
2024-01-01 06:00:00,4.561676,5.0362854,4.0069885,5.725153,3.0077412,2.427059
2024-01-01 07:00:00,4.480377,4.542877,3.931549,4.9848757,2.2702322,2.2089736
2024-01-01 08:00:00,4.14151,4.815338,4.0829163,3.9574916,2.57619,2.211656
2024-01-01 09:00:00,3.872467,4.452545,5.2044983,3.4081333,3.0797205,2.8630548
2024-01-01 10:00:00,4.2760315,4.8404846,6.5240784,3.5159426,3.7485023,4.692614
2024-01-01 11:00:00,4.980377,5.306549,7.4042053,3.1947103,4.0506487,5.893394
2024-01-01 12:00:00,5.6664124,5.4652405,8.076569,3.2985544,4.5770836,5.863664
2024-01-01 13:00:00,6.1666565,5.8893127,8.977203,4.991637,5.38768,5.642827
2024-01-01 14:00:00,6.722809,6.2638245,9.601715,6.824348,5.5162816,5.7571425
2024-01-01 15:00:00,6.919586,6.480133,10.267242,7.447134,5.1265044,6.7817693
2024-01-01 16:00:00,7.6061096,6.863922,11.082672,7.4173756,5.2991285,6.9145274
2024-01-01 17:00:00,8.160797,7.2154846,11.469391,6.202098,5.341457,6.185138
2024-01-01 18:00:00,8.986237,8.177643,11.078033,6.7453446,6.5193105,5.5243626
2024-01-01 19:00:00,9.697418,10.326324,10.240387,6.58269,9.573879,6.11611
2024-01-01 20:00:00,10.262604,10.705963,10.323151,7.0805664,9.482609,6.2411275
2024-01-01 21:00:00,10.024567,11.30191,10.510895,7.8210444,9.218343,6.021477
2024-01-01 22:00:00,9.668854,10.330963,10.471588,7.9463725,7.503321,5.7042866
2024-01-01 23:00:00,9.45694,10.267487,10.603424,7.5758266,6.8550134,5.6655936
2024-01-02 00:00:00,9.138336,10.29068,10.528961,7.0211368,7.136182,5.712967
2024-01-02 01:00:00,9.091461,9.902008,10.030914,6.533877,6.764513,5.2326107
2024-01-02 02:00:00,9.217926,9.686676,9.735504,5.975939,6.796399,4.825424
2024-01-02 03:00:00,8.911041,9.799713,9.67276,6.002863,6.5404415,4.577718
2024-01-02 04:00:00,8.7447815,9.8385315,9.592438,5.755135,6.3725824,3.8608682
2024-01-02 05:00:00,8.861481,9.754059,9.756012,5.1195,4.891391,3.4999847
2024-01-02 06:00:00,8.888336,9.569977,9.523102,4.5255556,4.2964087,2.0919888
2024-01-02 07:00:00,9.022369,9.569244,9.246979,4.1198606,3.9145164,0.26074967
2024-01-02 08:00:00,8.8246155,9.353912,8.87735,3.353252,3.4714003,1.7314905
2024-01-02 09:00:00,8.402008,9.235992,9.060211,3.123909,3.6360214,2.227129
2024-01-02 10:00:00,8.485016,9.252594,8.738922,2.5926774,4.3867106,4.2699227
2024-01-02 11:00:00,8.350494,9.7274475,8.746979,2.4282725,4.1128592,4.646103
2024-01-02 12:00:00,8.293121,9.795074,9.007965,2.7214048,5.0289474,5.202109
2024-01-02 13:00:00,8.33316,9.286285,9.309723,3.7344277,5.4985304,6.507022
2024-01-02 14:00:00,8.714508,9.048492,9.527008,4.8848624,5.7669487,6.860379
